Date,Close,Volume
2022-11-28,93.2207,3317106.0
2022-11-29,94.3351,2228268.0
2022-11-30,94.2154,6973398.0
2022-12-01,94.2304,3156005.0
2022-12-02,94.9783,2178992.0
2022-12-05,93.2132,2563148.0
2022-12-06,93.1758,2295722.0
2022-12-07,94.4996,3230994.0
2022-12-08,94.2379,4527219.0
2022-12-09,94.0584,2792540.0
2022-12-12,94.8736,4637849.0
2022-12-13,95.2027,3895252.0
2022-12-14,94.3052,3702457.0
2022-12-15,91.5304,3990454.0
2022-12-16,91.0143,9089361.0
2022-12-19,91.3434,2918360.0
2022-12-20,90.3562,3471988.0
2022-12-21,92.3381,3083408.0
2022-12-22,90.9395,2617326.0
2022-12-23,89.855,3120723.0
2022-12-27,89.9149,2166195.0
2022-12-28,88.4714,2345356.0
2022-12-29,90.1767,2464717.0
2022-12-30,89.6905,2506816.0
2023-01-03,91.5977,3124909.0
2023-01-04,93.6021,3312561.0
2023-01-05,91.9642,3117494.0
2023-01-06,94.7764,2890732.0
2023-01-09,94.8287,3434075.0
2023-01-10,95.8309,1971128.0
2023-01-11,96.5714,2408146.0
2023-01-12,96.7434,2200042.0
2023-01-13,96.8631,2025306.0
2023-01-17,94.6866,4199036.0
2023-01-18,91.8071,5093166.0
2023-01-19,88.5761,5955721.0
2023-01-20,90.2365,5230706.0
2023-01-23,91.7099,4080991.0
2023-01-24,86.0107,12290694.0
2023-01-25,84.4626,7167867.0
2023-01-26,84.9263,5532218.0
2023-01-27,86.1977,4920942.0
2023-01-30,84.2008,7059868.0
2023-01-31,86.0706,6065155.0
2023-02-01,86.6539,3708557.0
2023-02-02,89.9672,5880971.0
2023-02-03,87.8731,3208150.0
2023-02-06,87.1326,2974811.0
2023-02-07,87.4318,2610509.0
2023-02-08,86.1977,3003993.0
2023-02-09,84.4626,4307872.0
2023-02-10,85.1731,2720302.0
2023-02-13,86.2202,2688130.0
2023-02-14,85.4199,2944911.0
2023-02-15,85.8537,3022651.0
2023-02-16,84.8761,3223340.0
2023-02-17,85.6263,3381929.0
2023-02-21,82.7921,4651364.0
2023-02-22,82.5572,3175380.0
2023-02-23,82.5344,3520785.0
2023-02-24,81.6932,3424028.0
2023-02-27,82.0494,4252976.0
2023-02-28,81.6478,4043078.0
2023-03-01,83.5196,5877981.0
2023-03-02,83.2847,9076803.0
2023-03-03,84.3153,3636797.0
2023-03-06,83.3074,3373677.0
2023-03-07,81.1552,4033869.0
2023-03-08,81.2082,4107901.0
2023-03-09,79.9654,4142585.0
2023-03-10,78.859,4417904.0
2023-03-13,78.4346,5036476.0
2023-03-14,77.889,5707312.0
2023-03-15,77.889,5850473.0
2023-03-16,78.9727,4356550.0
2023-03-17,78.0708,13617297.0
2023-03-20,79.0484,3255392.0
2023-03-21,79.0333,3137826.0
2023-03-22,76.9493,3355378.0
2023-03-23,76.5401,3800051.0
2023-03-24,76.6461,4249268.0
2023-03-27,76.9114,3345690.0
2023-03-28,77.1008,2945509.0
2023-03-29,78.1997,3853034.0
2023-03-30,77.889,2810241.0
2023-03-31,79.6547,4319354.0
2023-04-03,79.2455,4804691.0
2023-04-04,77.4873,4154067.0
2023-04-05,77.5176,3171792.0
2023-04-06,76.9644,2893363.0
2023-04-10,77.8738,3444719.0
2023-04-11,79.2379,3530592.0
2023-04-12,79.0939,3258861.0
2023-04-13,80.4428,4108499.0
2023-04-14,80.1549,3341146.0
2023-04-17,80.9203,2911184.0
2023-04-18,80.5338,2286872.0
2023-04-19,80.3898,2293928.0
2023-04-20,79.3667,4419579.0
2023-04-21,79.1773,7644593.0
2023-04-24,79.6168,4229056.0
2023-04-25,79.0939,6065394.0
2023-04-26,77.9951,3795386.0
2023-04-27,79.8214,2862148.0
2023-04-28,80.4959,4764505.0
2023-05-01,80.2155,2738003.0
2023-05-02,78.0405,3602352.0
2023-05-03,77.9269,2459096.0
2023-05-04,77.1766,3543987.0
2023-05-05,78.3209,2324785.0
2023-05-08,77.5555,2504424.0
2023-05-09,76.3885,3733194.0
2023-05-10,76.4643,3281944.0
2023-05-11,76.3733,3317704.0
2023-05-12,75.9868,2937496.0
2023-05-15,76.1535,2878772.0
2023-05-16,74.2741,4476748.0
2023-05-17,75.9186,4279288.0
2023-05-18,76.6572,3485503.0
2023-05-19,76.1879,3229080.0
2023-05-22,78.2497,5008011.0
2023-05-23,77.4727,4324975.0
2023-05-24,74.6185,4942590.0
2023-05-25,74.6646,3731042.0
2023-05-26,74.58,3333730.0
2023-05-30,73.903,3433477.0
2023-05-31,71.7873,7405273.0
2023-06-01,72.5335,3982082.0
2023-06-02,78.8806,16938828.0
2023-06-05,75.3801,7070752.0
2023-06-06,75.6186,5351024.0
2023-06-07,77.7035,3996075.0
2023-06-08,77.5189,3768476.0
2023-06-09,76.8572,5398266.0
2023-06-12,77.9035,4185880.0
2023-06-13,79.0422,3926827.0
2023-06-14,78.4344,3888196.0
2023-06-15,79.8653,3375590.0
2023-06-16,80.427,7412210.0
2023-06-20,78.7037,3284455.0
2023-06-21,78.0651,3011648.0
2023-06-22,77.265,3103500.0
